"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 20:25:33 UTC 2023","Tue Feb 07 20:25:33 UTC 2023","55","","Check login page defaults","","Check login page defaults","Ispect footer text","Ispect footer text",""
"passed","Tue Feb 07 20:25:31 UTC 2023","Tue Feb 07 20:25:31 UTC 2023","101","","Verify Add Remove elements","","Verify Add Remove elements","Add element","Add element",""
"passed","Tue Feb 07 20:25:31 UTC 2023","Tue Feb 07 20:25:31 UTC 2023","316","","Basic Auth in modal","","Basic Auth in modal","Login with correct credential","Login with correct credential",""
"passed","Tue Feb 07 20:25:31 UTC 2023","Tue Feb 07 20:25:31 UTC 2023","113","","Check Add Remove elements page defaults","","Check Add Remove elements page defaults","Check h3 header displayed","Check h3 header displayed",""
"passed","Tue Feb 07 20:25:31 UTC 2023","Tue Feb 07 20:25:31 UTC 2023","30","","Check Add Remove elements page defaults","","Check Add Remove elements page defaults","Verify Add button","Verify Add button",""
"passed","Tue Feb 07 20:25:31 UTC 2023","Tue Feb 07 20:25:32 UTC 2023","1135","","Verify Add Remove elements","","Verify Add Remove elements","Remove element","Remove element",""
"passed","Tue Feb 07 20:25:31 UTC 2023","Tue Feb 07 20:25:31 UTC 2023","105","","Verify broken images","","Verify broken images","Verify Title","Verify Title",""
"passed","Tue Feb 07 20:25:33 UTC 2023","Tue Feb 07 20:25:33 UTC 2023","45","","Check login page defaults","","Check login page defaults","Verify Footer link","Verify Footer link",""
"passed","Tue Feb 07 20:25:32 UTC 2023","Tue Feb 07 20:25:33 UTC 2023","69","","Check login page defaults","","Check login page defaults","Check h2 header displayed","Check h2 header displayed",""
